Date,open,high,low,code,close,pctChg,volume,amount,turn
1994-10-19,631.3400,654.0600,631.2400,sh.000001,652.89,4.542688,193432000,1455494144.0000,0.019269
1994-10-20,663.3100,718.9900,665.6100,sh.000001,718.99,10.124210,476211500,4089376000.0000,0.047084
1994-10-21,730.9700,746.9000,706.4100,sh.000001,712.71,-0.873443,654928100,6523713024.0000,0.064755
1994-10-24,741.0500,785.9500,734.9300,sh.000001,785.85,10.262230,603152300,5604240384.0000,0.059485
1994-10-25,794.5700,794.8500,744.5200,sh.000001,744.52,-5.259268,565951800,5355785728.0000,0.055816
1994-10-26,725.9400,730.8000,683.4000,sh.000001,686.31,-7.818463,334793000,2874022656.0000,0.033019
1994-10-27,682.0200,703.6200,678.1800,sh.000001,703.62,2.522184,190522800,1429674240.0000,0.018790
1994-10-28,695.6600,702.9200,675.6500,sh.000001,677.45,-3.719335,259866400,1766982400.0000,0.025629
1994-10-31,648.2400,665.1000,642.8600,sh.000001,654.98,-3.316855,155162400,1051577344.0000,0.015303
1994-11-01,667.6600,675.6600,657.2700,sh.000001,673.79,2.871843,119961500,902302272.0000,0.011831
1994-11-02,667.0500,672.1200,663.7700,sh.000001,667.86,-0.880095,100864800,650360256.0000,0.009948
1994-11-03,675.3200,722.6000,675.0400,sh.000001,717.36,7.411733,341127300,2974120704.0000,0.033643
1994-11-04,717.6100,717.6500,664.6900,sh.000001,666.77,-7.052243,277774100,2289476608.0000,0.027395
1994-11-07,649.1400,678.4500,648.6800,sh.000001,674.67,1.184811,121308800,965195200.0000,0.011964
1994-11-08,707.2700,735.8300,697.8200,sh.000001,709.69,5.190689,427139500,4398732800.0000,0.042126
1994-11-09,691.9800,724.7200,691.9800,sh.000001,723.91,2.003688,251096700,2575883520.0000,0.024764
1994-11-10,738.0000,743.2200,710.0100,sh.000001,711.68,-1.689434,291438700,3032842240.0000,0.028462
1994-11-11,725.8800,731.1600,708.0000,sh.000001,731.16,2.737183,198248000,1762554240.0000,0.019355
1994-11-14,731.6300,739.5600,725.5300,sh.000001,733.39,0.305001,243435600,2209472512.0000,0.023767
1994-11-15,717.3000,724.3900,704.8900,sh.000001,705.43,-3.812436,181359900,1699881472.0000,0.017707
1994-11-16,704.9400,712.3800,694.2600,sh.000001,706.63,0.170111,113513600,1129399168.0000,0.011083
1994-11-17,707.1600,709.8900,696.8800,sh.000001,697.17,-1.338752,91213400,932018496.0000,0.008905
1994-11-18,690.6600,698.8200,685.6200,sh.000001,698.81,0.235239,70666200,603358528.0000,0.006899
1994-11-21,695.7500,703.5900,693.9400,sh.000001,699.1,0.041496,34582500,286605376.0000,0.003376
1994-11-22,702.0400,705.2500,690.0500,sh.000001,692.39,-0.959800,72410300,618243456.0000,0.006933
1994-11-23,690.9800,691.6100,676.5000,sh.000001,679.61,-1.845785,69029600,556339648.0000,0.006609
1994-11-24,676.1600,684.0200,674.6500,sh.000001,678.02,-0.233953,58381600,453762400.0000,0.005589
1994-11-25,697.0900,701.3100,684.0000,sh.000001,685.33,1.078139,66279700,603284416.0000,0.006346
1994-11-28,683.8300,683.9400,677.9600,sh.000001,681.49,-0.560318,30718100,230318576.0000,0.002941
1994-11-29,671.7000,687.5600,670.6100,sh.000001,687.56,0.890697,39397900,315890080.0000,0.003764
1994-11-30,687.0400,689.9600,682.8000,sh.000001,683.59,-0.577400,38725200,350989952.0000,0.003700
1994-12-01,684.0200,684.7200,680.0000,sh.000001,682.3,-0.188715,26898100,208464160.0000,0.002570
1994-12-02,684.1800,685.4700,677.6000,sh.000001,677.91,-0.643414,33807200,248127888.0000,0.003227
1994-12-05,674.5400,675.4200,662.7200,sh.000001,663.13,-2.180226,39217200,275367168.0000,0.003743
1994-12-06,658.9400,658.9400,648.7200,sh.000001,653.98,-1.379824,41069800,309949888.0000,0.003920
1994-12-07,655.1400,658.5700,651.3700,sh.000001,652.85,-0.172789,25290000,182389808.0000,0.002414
1994-12-08,653.8300,654.6500,643.2700,sh.000001,643.86,-1.377038,27627000,189492624.0000,0.002637
1994-12-09,639.7500,647.8400,635.7800,sh.000001,640.67,-0.495450,40199200,276424736.0000,0.003805
1994-12-12,636.3500,636.3500,620.4700,sh.000001,620.47,-3.152951,34402700,229147680.0000,0.003257
1994-12-13,632.6900,640.1300,621.7800,sh.000001,636.68,2.612539,43938100,333335456.0000,0.004159
1994-12-14,633.0600,633.0600,624.3600,sh.000001,625.21,-1.801528,30680800,218004336.0000,0.002904
1994-12-15,626.4400,671.0100,626.4200,sh.000001,666.68,6.632967,102353900,824426048.0000,0.009598
1994-12-16,661.3800,693.7600,657.8600,sh.000001,680.23,2.032458,209518500,1900108544.0000,0.019647
1994-12-19,684.6200,685.4700,653.3100,sh.000001,653.37,-3.948663,97739100,872191744.0000,0.009165
1994-12-20,660.2600,674.8000,654.8800,sh.000001,667.94,2.229978,118634400,1272534912.0000,0.011125
1994-12-21,665.7900,691.8100,665.5100,sh.000001,672.47,0.678200,256822400,2625556224.0000,0.024083
1994-12-22,670.1700,676.1300,658.1200,sh.000001,673.48,0.150194,159147000,1725470592.0000,0.014924
1994-12-23,675.9400,695.2200,675.9100,sh.000001,677.84,0.647391,302371700,3267958272.0000,0.028355
1994-12-26,684.8100,689.1300,674.9000,sh.000001,675.88,-0.289157,161015300,1507992448.0000,0.015099
1994-12-27,679.1800,681.3000,659.3400,sh.000001,660.88,-2.219329,163803300,1469119232.0000,0.015360
1994-12-28,660.7200,662.9500,648.2300,sh.000001,649.59,-1.708325,98284800,811877248.0000,0.009217
1994-12-29,651.3300,658.2900,642.2600,sh.000001,645.06,-0.697367,82812200,781288320.0000,0.007766
1994-12-30,648.0400,651.3500,643.0600,sh.000001,647.87,0.435618,67770800,543373376.0000,0.006355
1995-01-03,637.7200,647.7100,630.5300,sh.000001,639.88,-1.233271,23451800,180693264.0000,0.002192
1995-01-04,641.9000,655.5100,638.8600,sh.000001,653.81,2.176970,42222000,306923360.0000,0.003947
1995-01-05,655.3800,657.5200,645.8100,sh.000001,646.89,-1.058409,43012300,301532800.0000,0.004021
1995-01-06,642.7500,643.8900,636.3300,sh.000001,640.76,-0.947612,48748200,353757728.0000,0.004557
1995-01-09,637.5200,637.5500,625.0400,sh.000001,626.0,-2.303516,50985100,398519520.0000,0.004766
1995-01-10,616.1600,617.6000,607.0600,sh.000001,610.3,-2.507989,60692500,450540672.0000,0.005673
1995-01-11,610.3000,615.2100,606.9200,sh.000001,613.13,0.463709,36268200,245044720.0000,0.003390
1995-01-12,612.7900,615.4700,601.1700,sh.000001,602.12,-1.795706,33819500,242435184.0000,0.003161
1995-01-13,597.3200,601.0700,593.8100,sh.000001,597.84,-0.710816,42152300,292229696.0000,0.003940
